*	*	*	*	*	*	*	*	*
92	Performance:	0.85922222	0.844	0.896				
93	Performance:	0.85966667	0.844	0.896				
94	Performance:	0.85977778	0.844	0.896				
95	Performance:	0.86	0.846	0.896				
96	Performance:	0.86033333	0.846	0.896				
97	Performance:	0.86055556	0.846	0.896				
98	Performance:	0.86055556	0.846	0.897				
99	Performance:	0.86055556	0.845	0.897				
100	Performance:	0.86066667	0.845	0.897				
								
								
								
*	*	*	*	*	*	*	*	*
Parameters	=>	Epochs:	"100,"	Learning	Rate:	0.001		
Type	of	network	used:	HiddenNetwork				
Input	Nodes:	"196,"	Hidden	Nodes:	"15,"	Output	Nodes:	10
*	*	*	*	*	*	*	*	*
1	Performance:	0.11444444	0.09	0.117				
2	Performance:	0.11444444	0.09	0.117				
3	Performance:	0.11444444	0.09	0.117				
4	Performance:	0.11444444	0.09	0.117				
5	Performance:	0.11444444	0.09	0.117				
6	Performance:	0.11444444	0.09	0.117				
7	Performance:	0.11444444	0.09	0.117				
8	Performance:	0.11444444	0.09	0.117				
9	Performance:	0.11444444	0.09	0.117				
10	Performance:	0.11444444	0.09	0.117				
11	Performance:	0.11444444	0.09	0.117				
12	Performance:	0.11444444	0.09	0.117				
13	Performance:	0.11444444	0.09	0.117				
14	Performance:	0.11444444	0.09	0.117				
15	Performance:	0.11444444	0.09	0.117				
16	Performance:	0.11444444	0.09	0.117				
17	Performance:	0.11444444	0.09	0.117				
18	Performance:	0.11444444	0.09	0.117				
19	Performance:	0.11444444	0.09	0.117				
20	Performance:	0.11444444	0.09	0.117				
21	Performance:	0.11444444	0.09	0.117				
22	Performance:	0.11444444	0.09	0.117				
23	Performance:	0.11444444	0.09	0.117				
24	Performance:	0.11444444	0.09	0.117				
25	Performance:	0.11444444	0.09	0.117				
26	Performance:	0.11444444	0.09	0.117				
27	Performance:	0.11444444	0.09	0.117				
28	Performance:	0.11444444	0.09	0.117				
29	Performance:	0.11444444	0.09	0.117				
30	Performance:	0.11444444	0.09	0.117				
31	Performance:	0.11444444	0.09	0.117				
32	Performance:	0.11444444	0.09	0.117				
33	Performance:	0.11444444	0.09	0.117				
34	Performance:	0.11444444	0.09	0.117				
35	Performance:	0.11444444	0.09	0.117				
36	Performance:	0.11444444	0.09	0.117				
37	Performance:	0.11444444	0.09	0.117				
38	Performance:	0.11444444	0.09	0.117				
39	Performance:	0.11444444	0.09	0.117				
40	Performance:	0.11444444	0.09	0.117				
41	Performance:	0.11444444	0.09	0.117				
42	Performance:	0.11444444	0.09	0.117				
43	Performance:	0.11444444	0.09	0.117				
44	Performance:	0.11444444	0.09	0.117				
45	Performance:	0.11444444	0.09	0.117				
46	Performance:	0.11444444	0.09	0.117				
47	Performance:	0.11444444	0.09	0.117				
48	Performance:	0.11444444	0.09	0.117				
49	Performance:	0.11444444	0.09	0.117				
50	Performance:	0.11444444	0.09	0.117				
51	Performance:	0.11444444	0.09	0.117				
52	Performance:	0.11444444	0.09	0.117				
53	Performance:	0.11444444	0.09	0.117				
54	Performance:	0.11444444	0.09	0.117				
55	Performance:	0.11444444	0.09	0.117				
56	Performance:	0.11444444	0.09	0.117				
57	Performance:	0.11444444	0.09	0.117				
58	Performance:	0.11444444	0.09	0.117				
59	Performance:	0.11444444	0.09	0.117				
60	Performance:	0.11444444	0.09	0.117				
61	Performance:	0.11444444	0.09	0.117				
62	Performance:	0.11444444	0.09	0.117				
63	Performance:	0.11444444	0.09	0.117				
64	Performance:	0.11444444	0.09	0.117				
65	Performance:	0.11444444	0.09	0.117				
66	Performance:	0.11444444	0.09	0.117				
67	Performance:	0.11455556	0.09	0.117				
68	Performance:	0.11588889	0.091	0.119				
69	Performance:	0.11966667	0.098	0.134				
70	Performance:	0.13322222	0.108	0.149				
71	Performance:	0.14766667	0.121	0.166				
72	Performance:	0.16177778	0.137	0.18				
73	Performance:	0.17544444	0.157	0.187				
74	Performance:	0.18511111	0.17	0.197				
75	Performance:	0.19133333	0.179	0.203				
76	Performance:	0.19688889	0.186	0.206				
77	Performance:	0.20077778	0.187	0.207				
78	Performance:	0.20444444	0.187	0.21				
79	Performance:	0.20655556	0.188	0.21				
80	Performance:	0.20788889	0.19	0.21				
81	Performance:	0.20811111	0.191	0.211				
82	Performance:	0.20877778	0.192	0.211				
83	Performance:	0.20966667	0.192	0.212				
84	Performance:	0.21033333	0.193	0.212				
85	Performance:	0.21077778	0.193	0.212				
86	Performance:	0.211	0.193	0.212				
87	Performance:	0.21122222	0.193	0.212				
88	Performance:	0.21133333	0.193	0.212				
89	Performance:	0.21177778	0.193	0.212				
90	Performance:	0.21177778	0.193	0.212				
91	Performance:	0.21188889	0.193	0.212				
92	Performance:	0.21188889	0.193	0.212				
93	Performance:	0.21188889	0.193	0.212				
94	Performance:	0.212	0.193	0.212				
95	Performance:	0.21211111	0.193	0.212				
96	Performance:	0.21211111	0.193	0.212				
97	Performance:	0.21211111	0.193	0.212				
98	Performance:	0.21211111	0.193	0.212				
99	Performance:	0.212	0.193	0.212				
100	Performance:	0.212	0.193	0.212				
								
								
*	*	*	*	*	*	*	*	*
Parameters	=>	Epochs:	"100,"	Learning	Rate:	0.1		
Type	of	network	used:	HiddenNetwork				
Input	Nodes:	"196,"	Hidden	Nodes:	"15,"	Output	Nodes:	10
*	*	*	*	*	*	*	*	*
1	Performance:	0.21266667	0.194	0.212				
2	Performance:	0.67811111	0.647	0.716				
3	Performance:	0.81566667	0.792	0.85				
4	Performance:	0.86155556	0.846	0.892				
5	Performance:	0.87866667	0.858	0.905				
6	Performance:	0.88777778	0.864	0.916				
7	Performance:	0.89344444	0.87	0.917				
8	Performance:	0.89833333	0.875	0.92				
9	Performance:	0.90144444	0.879	0.924				
10	Performance:	0.904	0.884	0.929				
11	Performance:	0.90577778	0.886	0.931				
12	Performance:	0.90855556	0.886	0.933				
13	Performance:	0.91066667	0.891	0.933				
14	Performance:	0.91222222	0.894	0.935				
15	Performance:	0.91322222	0.892	0.935				
16	Performance:	0.91611111	0.896	0.936				
17	Performance:	0.91755556	0.896	0.938				
18	Performance:	0.91888889	0.898	0.941				
19	Performance:	0.92	0.899	0.94				
20	Performance:	0.92133333	0.899	0.94				
21	Performance:	0.92233333	0.9	0.94				
22	Performance:	0.924	0.901	0.94				
23	Performance:	0.92444444	0.9	0.941				
24	Performance:	0.92555556	0.9	0.94				
25	Performance:	0.92655556	0.901	0.942				
26	Performance:	0.92744444	0.902	0.942				
27	Performance:	0.92755556	0.902	0.942				
28	Performance:	0.92866667	0.902	0.943				
29	Performance:	0.92955556	0.903	0.942				
30	Performance:	0.93033333	0.903	0.942				
31	Performance:	0.93111111	0.902	0.941				
32	Performance:	0.93177778	0.902	0.941				
33	Performance:	0.93155556	0.904	0.94				
34	Performance:	0.93188889	0.904	0.939				
35	Performance:	0.93233333	0.904	0.939				
36	Performance:	0.93277778	0.904	0.938				
37	Performance:	0.933	0.906	0.937				
38	Performance:	0.93322222	0.91	0.937				
39	Performance:	0.93366667	0.911	0.937				
40	Performance:	0.93422222	0.91	0.936				
41	Performance:	0.93511111	0.91	0.935				
42	Performance:	0.93544444	0.91	0.936				
43	Performance:	0.93611111	0.909	0.936				
44	Performance:	0.93633333	0.909	0.936				
45	Performance:	0.93677778	0.908	0.936				
46	Performance:	0.93733333	0.909	0.937				
47	Performance:	0.93722222	0.909	0.937				
48	Performance:	0.93811111	0.91	0.937				
49	Performance:	0.93822222	0.91	0.937				
50	Performance:	0.93844444	0.909	0.936				
51	Performance:	0.93877778	0.909	0.936				
52	Performance:	0.93911111	0.909	0.936				
53	Performance:	0.93933333	0.909	0.936				
54	Performance:	0.93922222	0.908	0.936				
55	Performance:	0.93955556	0.906	0.936				
56	Performance:	0.94	0.905	0.936				
57	Performance:	0.94011111	0.904	0.937				
58	Performance:	0.94077778	0.904	0.937				
59	Performance:	0.94088889	0.904	0.937				
60	Performance:	0.94111111	0.905	0.937				
61	Performance:	0.94188889	0.905	0.938				
62	Performance:	0.94211111	0.905	0.939				
63	Performance:	0.94233333	0.906	0.94				
64	Performance:	0.94266667	0.907	0.94				
65	Performance:	0.94288889	0.907	0.94				
66	Performance:	0.94333333	0.906	0.94				
67	Performance:	0.94355556	0.906	0.94				
68	Performance:	0.94388889	0.907	0.939				
69	Performance:	0.94422222	0.908	0.939				
70	Performance:	0.94444444	0.908	0.94				
71	Performance:	0.94466667	0.908	0.94				
72	Performance:	0.945	0.908	0.94				
73	Performance:	0.94511111	0.908	0.939				
74	Performance:	0.94544444	0.908	0.938				
75	Performance:	0.94522222	0.907	0.937				
76	Performance:	0.94533333	0.907	0.936				
77	Performance:	0.94511111	0.908	0.935				
78	Performance:	0.945	0.909	0.936				
79	Performance:	0.94511111	0.909	0.936				
80	Performance:	0.94544444	0.908	0.936				
81	Performance:	0.94522222	0.908	0.936				
82	Performance:	0.94522222	0.908	0.936				
83	Performance:	0.94522222	0.908	0.936				
84	Performance:	0.94544444	0.907	0.936				
85	Performance:	0.94555556	0.907	0.936				
86	Performance:	0.94566667	0.906	0.936				
87	Performance:	0.946	0.906	0.935				
88	Performance:	0.94622222	0.907	0.934				
89	Performance:	0.94666667	0.907	0.934				
90	Performance:	0.94655556	0.906	0.934				
91	Performance:	0.94666667	0.906	0.934				
92	Performance:	0.94688889	0.906	0.934				
93	Performance:	0.94722222	0.906	0.934				
94	Performance:	0.94744444	0.906	0.933				
95	Performance:	0.94744444	0.906	0.933				
96	Performance:	0.94744444	0.906	0.933				
97	Performance:	0.94755556	0.905	0.933				
98	Performance:	0.948	0.905	0.933				
99	Performance:	0.948	0.906	0.933				
100	Performance:	0.94788889	0.905	0.933				
								
								
								
**	*	*	*	*	*	*	*	*
Parameters	=>	Epochs:	"100,"	Learning	Rate:	0.01		
Type	of	network	used:	HiddenNetwork				
Input	Nodes:	"196,"	Hidden	Nodes:	"15,"	Output	Nodes:	10
*	*	*	*	*	*	*	*	*
1	Performance:	0.11444444	0.09	0.117				
2	Performance:	0.11444444	0.09	0.117				
3	Performance:	0.11444444	0.09	0.117				
4	Performance:	0.11444444	0.09	0.117				
5	Performance:	0.11444444	0.09	0.117				
6	Performance:	0.11544444	0.09	0.119				
7	Performance:	0.20488889	0.187	0.209				
8	Performance:	0.212	0.193	0.212				
9	Performance:	0.21244444	0.194	0.212				
10	Performance:	0.21244444	0.193	0.212				
11	Performance:	0.22122222	0.211	0.23				
12	Performance:	0.30877778	0.298	0.321				
13	Performance:	0.413	0.391	0.433				
14	Performance:	0.49733333	0.458	0.531				
15	Performance:	0.56655556	0.522	0.602				
16	Performance:	0.60755556	0.557	0.644				
17	Performance:	0.63288889	0.597	0.666				
18	Performance:	0.65522222	0.615	0.684				
19	Performance:	0.67444444	0.628	0.716				
20	Performance:	0.69188889	0.649	0.725				
21	Performance:	0.70744444	0.667	0.747				
22	Performance:	0.72644444	0.684	0.765				
23	Performance:	0.74744444	0.707	0.785				
24	Performance:	0.76977778	0.724	0.806				
25	Performance:	0.78733333	0.739	0.833				
26	Performance:	0.80366667	0.757	0.837				
27	Performance:	0.81377778	0.783	0.846				
28	Performance:	0.82355556	0.797	0.857				
29	Performance:	0.83055556	0.814	0.866				
30	Performance:	0.83733333	0.822	0.874				
31	Performance:	0.84322222	0.824	0.878				
32	Performance:	0.848	0.828	0.881				
33	Performance:	0.851	0.83	0.89				
34	Performance:	0.85611111	0.834	0.894				
35	Performance:	0.85944444	0.837	0.899				
36	Performance:	0.86222222	0.842	0.902				
37	Performance:	0.86544444	0.844	0.901				
38	Performance:	0.86877778	0.85	0.905				
39	Performance:	0.87188889	0.852	0.906				
40	Performance:	0.87377778	0.852	0.903				
41	Performance:	0.87544444	0.855	0.904				
42	Performance:	0.87755556	0.855	0.906				
43	Performance:	0.87877778	0.856	0.907				
44	Performance:	0.88011111	0.855	0.907				
45	Performance:	0.88133333	0.86	0.908				
46	Performance:	0.88288889	0.86	0.907				
47	Performance:	0.88388889	0.86	0.907				
48	Performance:	0.88544444	0.861	0.91				
49	Performance:	0.88622222	0.863	0.911				
50	Performance:	0.887	0.863	0.914				
51	Performance:	0.88733333	0.863	0.913				
52	Performance:	0.88822222	0.866	0.914				
53	Performance:	0.88966667	0.866	0.914				
54	Performance:	0.89	0.867	0.916				
55	Performance:	0.89022222	0.867	0.915				
56	Performance:	0.89188889	0.869	0.915				
57	Performance:	0.89288889	0.868	0.915				
58	Performance:	0.89433333	0.868	0.914				
59	Performance:	0.89511111	0.869	0.913				
60	Performance:	0.89544444	0.869	0.913				
61	Performance:	0.89566667	0.869	0.913				
62	Performance:	0.89611111	0.871	0.914				
63	Performance:	0.89677778	0.872	0.915				
64	Performance:	0.89788889	0.872	0.916				
65	Performance:	0.89844444	0.872	0.916				
66	Performance:	0.89922222	0.873	0.917				
67	Performance:	0.89966667	0.873	0.919				
68	Performance:	0.89977778	0.874	0.919				
69	Performance:	0.90011111	0.875	0.919				
70	Performance:	0.90011111	0.876	0.919				
71	Performance:	0.89988889	0.876	0.92				
72	Performance:	0.90033333	0.876	0.92				
73	Performance:	0.90055556	0.877	0.921				
74	Performance:	0.90077778	0.877	0.921				
75	Performance:	0.90133333	0.878	0.922				
76	Performance:	0.90188889	0.878	0.923				
77	Performance:	0.90211111	0.878	0.922				
78	Performance:	0.90277778	0.878	0.923				
79	Performance:	0.90355556	0.878	0.923				
80	Performance:	0.90377778	0.878	0.923				
81	Performance:	0.90366667	0.879	0.924				
82	Performance:	0.90433333	0.879	0.924				
83	Performance:	0.90466667	0.879	0.924				
84	Performance:	0.90555556	0.88	0.925				
85	Performance:	0.90566667	0.881	0.926				
86	Performance:	0.90577778	0.881	0.927				
87	Performance:	0.90611111	0.881	0.927				
88	Performance:	0.90677778	0.881	0.927				
89	Performance:	0.90711111	0.882	0.927				
90	Performance:	0.90766667	0.882	0.928				
91	Performance:	0.90811111	0.883	0.928				
92	Performance:	0.90833333	0.884	0.928				
93	Performance:	0.90844444	0.884	0.928				
94	Performance:	0.90877778	0.884	0.928				
95	Performance:	0.90888889	0.883	0.927				
96	Performance:	0.90911111	0.885	0.927				
97	Performance:	0.90966667	0.885	0.926				
98	Performance:	0.90977778	0.885	0.926				
99	Performance:	0.91	0.885	0.927				
100	Performance:	0.91044444	0.885	0.927				
